traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,year,month,day,hour,day_in_week,is_weekend
1462,No,243.39,No rain,No snow,Clear,Haze,haze,2016,12,18,8,6,0
1037,No,243.62,No rain,No snow,Clear,Haze,haze,2016,12,18,7,6,0
800,No,244.22,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,6,6,0
354,No,244.82,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,2,2,3,5,0
417,No,244.82,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,2,2,4,5,0
678,No,244.82,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,2,2,5,5,0
459,No,244.89,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,5,6,0
277,No,245.62,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,4,6,0
1198,No,245.7,No rain,No snow,Clear,Clear,sky is clear,2013,2,2,6,5,0
1909,No,245.7,No rain,No snow,Clear,Clear,sky is clear,2013,2,2,7,5,0
2689,No,245.7,No rain,No snow,Clear,Clear,sky is clear,2013,2,2,8,5,0
472,No,246.04,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,2,2,2,5,0
3706,No,246.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,8,0,0
2384,No,246.15,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,9,6,0
4611,No,246.26,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,6,1,0
1319,No,246.36,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,31,8,6,0
194,No,246.38,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,2,1,0
723,No,246.39,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,4,1,0
5071,No,246.39,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,7,1,0
4748,No,246.39,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,8,1,0
312,No,246.47,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,3,2,0
737,No,246.47,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,4,2,0
2486,No,246.47,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,5,2,0
2238,No,246.52,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,5,1,0
1070,No,246.52,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,3,2,7,6,0
312,No,246.6,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,3,6,0
256,No,246.64,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,1,1,0
4360,No,246.65,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,1,27,7,0,0
3504,No,246.68,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,31,10,6,0
3067,No,246.74,No rain,No snow,Party Cloudy,Fog,fog,2016,12,18,10,6,0
334,No,247.0,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,3,1,0
4453,No,247.02,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,27,6,0,0
1129,No,247.08,No rain,No snow,Clear,Clear,sky is clear,2018,1,6,6,5,0
744,No,247.13,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,4,1,0
2545,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2013,12,24,8,1,0
1736,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,6,19,0,0
209,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,2,1,0
4642,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,21,9,1,0
754,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,4,3,0
2484,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,5,3,0
4250,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,9,3,0
3570,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,1,27,9,0,0
5684,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,2,27,7,3,0
443,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,3,2,5,6,0
759,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2014,3,2,6,6,0
1430,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2016,1,17,7,6,0
1988,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2016,1,17,8,6,0
383,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2018,1,6,4,5,0
694,No,247.15,No rain,No snow,Clear,Clear,sky is clear,2018,1,6,5,5,0
2412,No,247.15,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,9,5,0
959,No,247.15,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,31,7,6,0
2641,No,247.15,No rain,No snow,Party Cloudy,Clouds,few clouds,2014,1,6,11,0,0
4228,No,247.15,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,6,16,0,0
2526,No,247.15,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,6,18,0,0
2885,No,247.15,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,1,6,12,0,0
3735,No,247.15,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,1,6,17,0,0
772,No,247.15,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,1,6,23,0,0
346,No,247.16,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,1,2,0
248,No,247.16,No rain,No snow,Party Cloudy,Clouds,few clouds,2013,1,23,2,2,0
1728,No,247.21,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,6,7,5,0
2610,No,247.26,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,5,1,0
466,No,247.27,No rain,No snow,Clear,Clear,sky is clear,2014,1,28,0,1,0
472,No,247.29,No rain,No snow,Clear,Clear,sky is clear,2016,12,18,2,6,0
1681,No,247.29,No rain,No snow,Party Cloudy,Clear,sky is clear,2017,12,30,8,5,0
319,No,247.35,No rain,No snow,Clear,Clear,sky is clear,2018,1,6,3,5,0
3404,No,247.37,No rain,No snow,Clear,Clear,sky is clear,2017,12,31,11,6,0
341,No,247.38,No rain,No snow,Clear,Clear,sky is clear,2014,2,11,3,1,0
289,No,247.4,No rain,No snow,Clear,Clear,sky is clear,2014,1,7,3,1,0
2213,No,247.4,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,27,5,0,0
1122,No,247.43,No rain,No snow,Clear,Clear,sky is clear,2018,1,1,9,0,0
1707,No,247.44,No rain,No snow,Clear,Clear,sky is clear,2014,3,2,8,6,0
811,No,247.45,No rain,No snow,Party Cloudy,Clear,sky is clear,2018,1,1,8,0,0
3073,No,247.47,No rain,No snow,Party Cloudy,Clouds,scattered clouds,2014,1,6,13,0,0
337,No,247.48,No rain,No snow,Clear,Clear,sky is clear,2014,1,23,3,3,0
396,No,247.49,No rain,No snow,Mostly Cloudy,Clouds,broken clouds,2014,1,7,0,1,0
